	Adelie1	Adelie2	Adelie3	Adelie4	Gentoo1	Gentoo2	Gentoo3	Gentoo4
PENG0000007632	2	1	0	0	0	0	0	0
PENG0000007633	115	166	201	111	114	75	266	133
PENG0000007634	0	0	0	0	0	0	0	0
PENG0000007635	0	0	0	0	0	0	0	0
PENG0000007636	826	962	1081	750	589	424	1096	543
PENG0000007637	0	0	0	0	0	0	0	0
PENG0000007638	342	396	438	311	277	244	462	318
PENG0000007639	1004	639	371	465	1186	629	578	1093
PENG0000007640	1648	2522	2468	1770	3061	3662	5125	4461
PENG0000007641	0	0	0	0	0	1	0	0
PENG0000007642	3	0	0	1	0	0	1	0
PENG0000007643	0	0	0	0	0	0	0	0
PENG0000007644	0	0	0	0	0	0	0	0
PENG0000007645	137	152	121	128	149	96	149	195
PENG0000007646	441	468	507	379	330	220	406	252
PENG0000007647	0	0	0	0	0	0	0	0
PENG0000007648	133	193	222	105	103	79	168	94
PENG0000007649	673	846	770	667	965	706	1295	1077
PENG0000007650	0	8	2	2	1	7	9	4
PENG0000007651	1	1	0	0	0	0	1	0
PENG0000007652	18	8	0	8	10	1	0	4
PENG0000007653	0	0	0	0	0	0	0	0
PENG0000007654	0	0	0	0	0	0	0	0
PENG0000007655	1920	2242	3318	3197	733	634	3493	1469
PENG0000007656	391	557	470	376	335	304	498	362
PENG0000007657	1629	1968	1610	1503	1839	1293	2366	2062
PENG0000007658	0	0	0	0	0	0	0	1
PENG0000007659	0	0	0	0	0	0	0	0
PENG0000007660	0	0	0	0	0	0	1	0
PENG0000007661	0	0	0	0	0	0	0	0
PENG0000007662	0	0	0	0	0	0	0	0
PENG0000007663	840	854	962	683	1075	746	1234	1234
PENG0000007664	49	56	40	70	39	21	71	34
PENG0000007665	228	282	419	249	120	99	344	162
PENG0000007666	0	0	0	0	0	0	0	0
PENG0000007667	2	5	2	2	2	0	2	1
PENG0000007668	0	0	0	0	0	0	0	0
PENG0000007669	1549	1740	1782	1343	1191	695	1669	1316
PENG0000007670	0	4	0	1	0	0	2	0
PENG0000007671	0	1	0	0	0	0	0	0
PENG0000007672	0	0	0	0	0	0	2	0
PENG0000007673	1	1	0	1	0	0	0	1
PENG0000007674	0	0	0	0	0	0	0	0
PENG0000007675	0	0	0	0	20	0	1	0
PENG0000007676	5	4	3	1	1	2	9	1
PENG0000007677	1	0	0	0	1	1	0	0
PENG0000007678	0	0	0	0	0	0	0	0
PENG0000007679	365	234	222	47	398	242	872	85
PENG0000007680	0	0	0	0	0	0	0	0
PENG0000007681	152	165	153	150	99	73	181	146
PENG0000007682	0	0	0	0	0	0	0	0
PENG0000007683	838	940	986	724	507	353	791	536
PENG0000007684	33	64	43	40	29	28	40	28
PENG0000007685	125	129	135	111	151	98	199	124
PENG0000007686	2	10	2	3	3	1	5	5
PENG0000007687	0	0	0	0	0	0	0	0
PENG0000007688	312	243	551	434	136	26	200	123
PENG0000007689	702	730	858	649	568	458	770	592
PENG0000007690	0	0	0	0	0	0	1	0
PENG0000007691	0	0	0	0	1	0	1	0
PENG0000007692	2	10	10	5	3	5	15	6
PENG0000007693	319	435	423	298	399	282	558	358
PENG0000007694	0	0	0	0	0	0	0	0
PENG0000007695	1	0	0	0	0	0	0	0
PENG0000007696	0	0	0	0	0	0	0	0
PENG0000007697	425	419	730	296	521	351	1068	542
PENG0000007698	414	457	506	301	375	213	698	394
PENG0000007699	26	39	54	14	19	12	51	23
PENG0000007700	0	0	0	0	0	0	0	0
PENG0000007701	96	56	45	111	14	13	36	20
PENG0000007702	15	14	22	10	8	4	11	9
PENG0000007703	0	0	0	0	0	0	0	0
PENG0000007704	63	44	54	57	60	22	30	36
PENG0000007705	0	0	0	0	0	0	0	0
PENG0000007706	429	431	461	402	470	351	744	395
PENG0000007707	89	98	153	135	25	12	43	26
PENG0000007708	488	551	454	400	530	376	443	733
PENG0000007709	97	108	82	89	97	91	152	87
PENG0000007710	0	0	1	1	0	0	0	0
PENG0000007711	0	0	0	0	0	1	0	0
PENG0000007712	327	387	471	344	308	291	635	403
PENG0000007713	0	0	0	0	1	0	1	0
PENG0000007714	0	0	0	0	0	0	0	0
PENG0000007715	1118	917	891	654	873	370	1070	515
PENG0000007716	2959	3178	2937	2586	2325	1930	3610	2537
PENG0000007717	2389	2728	3008	1976	1536	1145	2387	1202
PENG0000007718	0	0	0	0	0	0	1	0
PENG0000007719	0	0	0	0	0	0	0	0
PENG0000007720	447	565	505	397	312	303	492	386
PENG0000007721	8	12	10	6	7	3	8	5
PENG0000007722	0	0	0	0	0	0	0	0
PENG0000007723	6	6	3	4	5	3	12	7
PENG0000007724	771	733	954	580	761	326	1126	567
PENG0000007725	0	0	0	0	0	0	0	0
PENG0000007726	898	987	1095	683	940	629	1288	707
PENG0000007727	1	2	2	3	0	1	0	0
PENG0000007728	0	0	0	0	0	0	0	0
PENG0000007729	3	5	2	2	4	6	12	5
PENG0000007730	0	4	0	0	0	2	2	2
PENG0000007731	0	0	0	0	0	0	1	0
PENG0000007732	6	15	37	19	4	0	15	3
PENG0000007733	741	831	705	570	732	633	956	707
PENG0000007734	1256	1488	1157	1172	1209	1052	1430	1456
PENG0000007735	0	2	1	2	1	0	0	1
PENG0000007736	675	822	1461	604	305	115	666	175
PENG0000007737	0	0	0	0	0	0	0	0
PENG0000007738	23586	30467	1244	20615	9968	8792	719	12440
PENG0000007739	0	0	0	1	1	0	0	0
PENG0000007740	5816	7132	8861	5582	7552	5912	13342	8359
PENG0000007741	729	799	1056	685	719	504	1177	847
PENG0000007742	0	0	0	0	2	0	0	0
PENG0000007743	721	789	869	650	793	629	1189	853
PENG0000007744	103	55	76	80	68	17	71	56
PENG0000007745	1	4	2	6	2	0	1	0
PENG0000007746	1755	2148	2341	1797	1639	1364	2919	1922
PENG0000007747	29	32	22	28	27	18	28	21
PENG0000007748	418	536	538	325	322	221	487	341
PENG0000007749	0	0	0	0	0	0	0	0
PENG0000007750	1761	2010	1972	1572	1813	1354	2670	2153
PENG0000007751	0	0	0	0	0	1	1	0
PENG0000007752	186	231	339	202	200	117	372	248
PENG0000007753	1128	1510	1579	1050	995	786	1738	1064
PENG0000007754	109	109	81	100	73	45	77	80
PENG0000007755	5	15	11	6	0	2	13	6
PENG0000007756	1706	1527	1294	1318	1677	974	1841	1564
PENG0000007757	355	274	336	294	448	213	469	350
PENG0000007758	699	778	785	537	559	448	840	524
PENG0000007759	0	0	0	0	0	0	0	0
PENG0000007760	119	90	121	94	115	68	163	89
PENG0000007761	1805	1743	1914	1391	1622	892	2443	1353
PENG0000007762	1365	1206	819	1293	1205	945	1204	1528
PENG0000007763	11	3	0	55	10	2	3	63
PENG0000007764	6	7	4	4	2	1	5	7
PENG0000007765	0	0	0	0	0	0	0	0
PENG0000007766	0	0	0	0	0	0	0	0
PENG0000007767	0	0	0	0	0	0	0	0
PENG0000007768	0	0	0	0	0	0	0	0
PENG0000007769	0	0	0	0	0	0	0	0
PENG0000007770	0	0	0	0	0	0	0	1
PENG0000007771	2	7	25	3	7	13	28	5
PENG0000007772	0	0	0	0	0	1	0	0
PENG0000007773	24	51	118	11	14	20	135	12
PENG0000007774	2723	3352	3398	2163	2820	2007	5154	2325
PENG0000007775	0	0	0	0	0	0	0	0
PENG0000007776	0	0	0	0	0	0	0	0
PENG0000007777	966	1115	874	819	901	726	1204	1020
PENG0000007778	5	9	8	7	4	10	11	10
PENG0000007779	0	0	1	0	1	0	0	0
PENG0000007780	0	0	0	0	1	0	0	0
PENG0000007781	949	1218	1109	1049	1494	1049	1825	1736
PENG0000007782	0	1	2	0	0	0	1	1
PENG0000007783	0	0	0	0	0	0	0	0
PENG0000007784	139	168	162	115	90	83	149	114
PENG0000007785	2114	2531	2309	1762	2320	2102	3877	2445
PENG0000007786	4640	6175	5237	3904	5080	4045	7613	4789
PENG0000007787	498	423	529	353	310	208	510	310
PENG0000007788	2229	2206	2074	1861	2463	1955	3367	3316
PENG0000007789	0	0	0	0	0	0	0	0
PENG0000007790	13	41	16	30	36	38	89	52
PENG0000007791	2106	2154	2353	1771	1835	1262	2833	1818
PENG0000007792	0	0	0	0	0	0	0	0
PENG0000007793	0	0	0	0	0	0	0	0
PENG0000007794	206	224	76	154	102	73	115	98
PENG0000007795	182	296	320	200	138	98	253	137
PENG0000007796	484	516	554	392	500	267	861	413
PENG0000007797	0	0	0	0	0	0	0	0
PENG0000007798	0	0	0	0	0	0	0	0
PENG0000007799	3	15	12	8	2	22	53	13
PENG0000007800	0	0	0	0	0	0	0	0
PENG0000007801	40	40	17	7	7	14	6	5
PENG0000007802	2	0	0	1	0	0	1	2
PENG0000007803	0	2	0	0	0	0	0	0
PENG0000007804	1	0	0	0	0	0	0	0
PENG0000007805	0	0	0	0	0	0	0	0
PENG0000007806	367	441	393	330	338	243	473	329
PENG0000007807	140	157	170	107	172	132	176	165
PENG0000007808	7	11	30	16	5	2	9	5
PENG0000007809	16	8	4	3	29	4	15	11
PENG0000007810	505	513	635	538	427	296	876	635
PENG0000007811	0	0	0	0	1	0	0	0
PENG0000007812	3680	3933	3226	3078	2633	1768	3740	3115
PENG0000007813	0	0	0	0	0	0	0	0
PENG0000007814	14	59	15	18	55	37	58	27
PENG0000007815	0	1	0	1	1	1	0	1
PENG0000007816	0	0	0	0	0	0	0	0
PENG0000007817	0	1	3	0	0	2	2	1
PENG0000007818	852	1088	1056	767	744	518	1140	744
PENG0000007819	727	790	837	579	629	417	985	583
PENG0000007820	0	0	0	0	0	0	0	0
PENG0000007821	0	2	0	0	0	0	0	0
PENG0000007822	49	45	43	53	38	22	36	42
PENG0000007823	0	0	0	0	0	0	0	0
PENG0000007824	0	1	0	0	0	0	0	0
PENG0000007825	4	9	11	9	5	6	6	14
PENG0000007826	1512	1745	1571	1542	2375	2228	3312	3056
PENG0000007827	191	201	168	176	178	108	208	126
PENG0000007828	176	227	180	142	82	62	94	71
PENG0000007829	409	377	411	342	384	235	439	375
PENG0000007830	135	137	146	156	154	154	211	188
PENG0000007831	0	0	0	0	0	0	0	0
PENG0000007832	1034	1059	1123	776	1011	506	1538	911
PENG0000007833	812	906	1007	667	629	468	1062	607
PENG0000007834	0	0	0	0	0	0	0	0
PENG0000007835	349	401	434	385	289	221	607	374
PENG0000007836	0	0	0	0	0	0	0	0
PENG0000007837	41	30	17	21	24	16	33	15
PENG0000007838	0	0	0	0	0	0	0	0
PENG0000007839	0	0	0	0	0	0	0	0
PENG0000007840	177	299	225	203	121	152	275	178
PENG0000007841	622	730	676	560	528	426	791	538
PENG0000007842	0	0	0	0	0	0	0	0
PENG0000007843	1	2	0	2	1	1	2	0
PENG0000007844	0	0	0	0	0	0	1	0
PENG0000007845	0	0	0	0	0	0	0	0
PENG0000007846	43	31	56	43	27	16	58	23
PENG0000007847	1	4	6	3	2	2	3	3
PENG0000007848	0	0	0	0	0	1	0	0
PENG0000007849	901	1281	1025	1240	991	927	1198	1590
PENG0000007850	0	0	0	0	0	0	0	0
PENG0000007851	0	1	1	0	0	0	0	0
PENG0000007852	0	0	0	0	0	0	0	0
PENG0000007853	0	0	0	0	0	0	0	0
PENG0000007854	0	0	0	0	0	0	0	0
PENG0000007855	232	220	163	193	178	94	256	154
PENG0000007856	1	2	2	1	0	0	1	1
PENG0000007857	0	0	0	0	0	0	0	0
PENG0000007858	0	0	0	0	0	0	0	0
PENG0000007859	0	0	0	0	0	0	0	0
PENG0000007860	682	683	697	497	641	319	805	453
PENG0000007861	496	807	501	500	479	369	625	499
PENG0000007862	0	0	0	0	0	0	0	0
PENG0000007863	11	27	13	14	12	5	12	9
PENG0000007864	93	46	88	47	22	9	27	23
PENG0000007865	7	12	8	11	8	6	13	7
PENG0000007866	0	0	0	0	0	0	0	0
PENG0000007867	0	0	0	0	0	0	0	0
PENG0000007868	0	0	0	0	1	0	0	0
PENG0000007869	88	210	94	73	70	60	97	71
PENG0000007870	0	0	2	0	2	0	0	1
PENG0000007871	170	180	446	187	161	104	618	207
PENG0000007872	137	122	144	73	207	159	159	190
PENG0000007873	1608	1709	1470	1244	1769	1100	2327	1804
PENG0000007874	0	0	0	0	0	0	0	0
PENG0000007875	223	268	267	246	154	159	285	145
PENG0000007876	9	3	5	3	10	3	6	6
PENG0000007877	0	0	0	0	0	0	0	0
PENG0000007878	744	877	831	722	655	616	1210	721
PENG0000007879	1	4	3	0	1	2	3	4
PENG0000007880	0	0	0	0	0	0	0	0
PENG0000007881	0	1	0	1	0	0	4	0
PENG0000007882	7	2	0	3	4	3	1	0
PENG0000007883	0	0	0	0	0	0	0	0
PENG0000007884	136	224	183	174	81	243	310	289
PENG0000007885	482	648	733	458	374	308	741	398
PENG0000007886	1	0	0	0	4	0	0	0
PENG0000007887	9	34	16	29	7	25	17	51
PENG0000007888	429	408	497	370	314	235	627	337
PENG0000007889	0	0	0	0	0	0	0	0
PENG0000007890	26	33	20	46	24	26	31	17
PENG0000007891	4	1	0	0	0	1	4	2
PENG0000007892	0	0	0	0	0	0	0	0
PENG0000007893	804	831	964	863	829	842	1332	1125
PENG0000007894	50	68	53	38	39	24	60	30
PENG0000007895	3	15	3	11	3	11	30	7
PENG0000007896	209	167	160	160	268	157	289	153
PENG0000007897	586	702	652	565	464	359	548	484
PENG0000007898	8	8	11	4	9	10	25	16
PENG0000007899	0	0	0	0	0	0	0	0
PENG0000007900	2	1	1	1	1	0	0	0
PENG0000007901	643	813	885	532	580	404	1058	546
PENG0000007902	0	0	0	0	0	0	0	0
PENG0000007903	0	0	0	0	0	0	0	0
PENG0000007904	0	0	0	0	0	0	0	0
PENG0000007905	1	0	1	0	0	0	0	0
PENG0000007906	0	0	0	0	0	0	0	0
PENG0000007907	0	0	0	0	0	0	0	0
PENG0000007908	0	0	2	0	0	0	0	0
PENG0000007909	0	0	0	0	0	0	0	0
PENG0000007910	0	0	0	0	0	0	0	0
PENG0000007911	31	59	53	23	36	41	43	23
PENG0000007912	1659	1894	2341	1359	1294	1049	2720	1472
PENG0000007913	234	311	296	240	148	110	270	149
PENG0000007914	69	44	31	44	29	20	28	30
PENG0000007915	11	11	13	15	12	7	4	9
PENG0000007916	513	547	689	460	485	363	931	433
PENG0000007917	0	0	0	0	0	0	0	0
PENG0000007918	1	0	1	0	2	1	4	1
PENG0000007919	0	0	0	0	0	0	0	0
PENG0000007920	625	686	673	578	597	358	810	589
PENG0000007921	6	21	16	11	5	7	13	7
PENG0000007922	0	0	0	0	0	0	0	0
PENG0000007923	60	52	47	39	81	44	47	67
PENG0000007924	297	304	235	233	254	187	318	205
PENG0000007925	0	0	0	0	0	0	0	0
PENG0000007926	617	568	599	607	548	346	650	612
PENG0000007927	1	0	0	2	1	0	1	2
PENG0000007928	0	0	0	0	0	0	0	0
PENG0000007929	314	274	134	448	191	93	169	402
PENG0000007930	35	70	47	37	36	36	42	45
PENG0000007931	0	0	0	0	0	0	0	1
PENG0000007932	0	0	0	0	0	0	0	0
PENG0000007933	419	482	548	399	380	270	701	497
PENG0000007934	0	0	0	0	0	0	0	0
PENG0000007935	474	501	704	488	469	336	871	604
PENG0000007936	0	0	0	0	0	0	0	0
PENG0000007937	0	0	0	0	0	0	0	0
PENG0000007938	0	0	1	0	1	1	1	1
PENG0000007939	1246	1394	788	626	2839	2458	4026	1962
PENG0000007940	177	269	34	216	106	230	79	457
PENG0000007941	0	0	1	0	0	0	0	0
PENG0000007942	330	341	388	349	386	322	556	480
PENG0000007943	2275	2308	3049	2111	2006	1351	3055	2044
PENG0000007944	2772	2963	2954	2432	3004	2200	4770	3448
PENG0000007945	0	0	0	0	0	0	0	0
PENG0000007946	0	1	0	0	0	0	0	1
PENG0000007947	354	481	512	378	326	367	554	417
PENG0000007948	4894	5655	5753	4256	4141	3081	8041	5230
PENG0000007949	32	93	58	49	35	58	82	42
PENG0000007950	1519	1550	1665	1494	1042	700	1511	1009
PENG0000007951	12	19	17	10	9	9	15	8
PENG0000007952	0	0	0	0	0	0	0	0
PENG0000007953	7964	8561	10235	5967	6597	4225	11386	5634
PENG0000007954	52	35	2	32	21	10	1	12
PENG0000007955	0	0	0	0	0	0	0	0
PENG0000007956	4	2	2	1	3	1	8	1
PENG0000007957	1507	1597	1869	1494	1512	1333	2335	2013
PENG0000007958	0	0	0	0	0	0	0	0
PENG0000007959	463	554	654	433	504	351	713	494
PENG0000007960	14	20	9	11	16	10	26	17
PENG0000007961	15	35	36	43	33	29	61	42
PENG0000007962	3	1	2	0	0	3	2	1
PENG0000007963	0	0	0	0	0	0	0	0
PENG0000007964	5	5	7	9	5	1	1	0
PENG0000007965	0	0	0	0	0	0	0	0
PENG0000007966	4253	5582	7229	4489	4370	4026	7410	5391
PENG0000007967	330	341	280	327	284	174	309	264
PENG0000007968	0	0	0	0	0	0	0	0
PENG0000007969	120	118	142	108	119	70	359	120
PENG0000007970	284	313	302	217	327	213	521	344
PENG0000007971	1	0	0	0	2	0	1	0
PENG0000007972	619	745	716	537	652	462	876	613
PENG0000007973	9	22	35	18	6	6	23	5
PENG0000007974	3	1	1	1	1	1	0	0
PENG0000007975	0	0	0	0	0	0	0	0
PENG0000007976	0	0	0	0	0	0	0	0
PENG0000007977	9	11	10	9	6	2	14	10
PENG0000007978	0	0	0	0	0	0	0	0
PENG0000007979	0	1	0	0	0	0	0	0
PENG0000007980	0	0	0	0	0	0	0	0
PENG0000007981	0	0	0	1	0	1	0	0
PENG0000007982	855	996	1125	778	810	485	1171	826
PENG0000007983	0	0	0	0	0	0	0	0
PENG0000007984	190	370	239	159	99	339	556	335
PENG0000007985	0	0	0	0	0	0	0	0
PENG0000007986	0	0	0	0	0	0	0	0
PENG0000007987	1	0	0	0	0	0	2	0
PENG0000007988	254	311	402	245	216	178	419	210
PENG0000007989	0	0	0	0	1	0	0	0
PENG0000007990	0	0	0	0	0	0	0	0
PENG0000007991	0	0	0	1	0	0	3	0
PENG0000007992	0	0	1	0	0	0	2	0
PENG0000007993	4	36	2	22	86	78	116	180
PENG0000007994	0	0	0	0	1	0	0	0
PENG0000007995	951	1607	1385	1134	1097	1095	2288	1638
PENG0000007996	344	480	445	357	452	464	774	673
PENG0000007997	0	1	1	0	0	0	0	0
PENG0000007998	5798	9003	6730	7190	5076	5668	8363	7342
PENG0000007999	0	0	0	0	0	0	0	0
PENG0000008000	5	1	9	1	1	1	2	3
PENG0000008001	0	0	0	0	0	0	0	0
PENG0000008002	0	0	0	0	0	0	0	0
PENG0000008003	0	0	1	0	0	1	2	0
PENG0000008004	9	3	7	6	4	2	14	13
PENG0000008005	0	0	0	0	0	0	0	0
PENG0000008006	183	148	206	152	180	123	263	138
PENG0000008007	485	569	537	468	372	363	667	393
PENG0000008008	182	196	160	130	217	139	282	189
PENG0000008009	588	707	697	496	506	373	818	492
PENG0000008010	566	670	689	460	531	374	931	493
PENG0000008011	47	48	79	39	21	23	57	18
PENG0000008012	55	55	17	15	29	60	15	6
PENG0000008013	2	4	4	4	4	1	8	4
PENG0000008014	720	762	920	549	692	496	1090	702
PENG0000008015	0	0	0	0	0	0	0	0
PENG0000008016	3378	4614	4730	3173	2881	1899	5441	2867
PENG0000008017	849	1134	1240	811	694	597	1385	916
PENG0000008018	34	32	19	29	20	18	30	17
PENG0000008019	0	0	0	0	0	0	0	0
PENG0000008020	2115	2542	2431	1877	1840	1396	2445	1726
PENG0000008021	169	187	231	185	91	79	230	120
PENG0000008022	6689	5756	5436	4655	4902	2786	4573	3788
PENG0000008023	1	1	2	2	1	0	0	1
PENG0000008024	0	0	0	0	0	0	0	0
PENG0000008025	0	1	0	0	0	0	0	0
PENG0000008026	4	6	3	5	4	0	0	1
PENG0000008027	0	0	0	0	0	0	0	0
PENG0000008028	9943	11996	13146	8449	8939	6767	17731	8866
PENG0000008029	0	0	0	0	0	0	0	0
PENG0000008030	0	0	0	0	0	0	0	0
PENG0000008031	0	3	1	1	0	0	0	1
PENG0000008032	0	0	0	0	0	0	0	0
PENG0000008033	0	0	0	0	0	0	0	0
PENG0000008034	0	0	0	0	0	0	0	0
PENG0000008035	10	14	16	7	2	2	12	6
PENG0000008036	0	0	0	0	0	0	0	0
PENG0000008037	1003	1294	1524	954	717	598	1180	660
PENG0000008038	21	29	23	26	10	15	15	27
PENG0000008039	0	0	0	0	0	0	0	0
PENG0000008040	0	1	2	1	0	0	0	0
PENG0000008041	0	0	0	0	0	0	0	0
PENG0000008042	4	1	6	3	5	2	7	0
PENG0000008043	27	39	74	28	26	24	119	30
PENG0000008044	152	111	49	365	21	13	4	35
PENG0000008045	725	759	701	522	703	461	889	656
PENG0000008046	0	2	2	0	0	1	2	0
PENG0000008047	199	207	213	158	133	122	261	124
PENG0000008048	0	0	0	0	0	0	0	0
PENG0000008049	0	0	0	0	0	0	0	0
PENG0000008050	3	7	12	5	2	4	8	6
PENG0000008051	33	32	25	31	22	17	37	22
PENG0000008052	1026	1031	1307	802	834	658	1596	986
PENG0000008053	0	0	0	0	0	0	0	0
PENG0000008054	0	0	0	0	0	0	0	0
PENG0000008055	3	5	3	1	1	1	6	2
PENG0000008056	0	0	0	0	0	0	0	0
PENG0000008057	0	0	0	0	0	0	0	0
PENG0000008058	0	0	0	0	0	0	0	0
PENG0000008059	0	0	0	0	1	0	0	1
PENG0000008060	66	56	59	73	47	42	75	64
PENG0000008061	0	0	0	0	1	0	0	0
PENG0000008062	177	162	146	151	198	87	227	161
PENG0000008063	1	14	4	3	7	4	8	4
PENG0000008064	0	0	0	0	0	0	0	0
PENG0000008065	473	565	610	371	488	373	715	453
PENG0000008066	0	0	0	0	0	0	0	0
PENG0000008067	0	0	0	0	0	0	0	0
PENG0000008068	51	77	69	60	47	41	55	39
PENG0000008069	0	0	0	0	0	0	0	0
PENG0000008070	1100	1354	1295	1087	1016	885	1478	1422
PENG0000008071	4056	4340	4533	3886	2825	2671	6423	3905
PENG0000008072	990	1035	1173	896	655	386	936	660
PENG0000008073	0	1	0	0	0	0	0	0
PENG0000008074	0	0	0	0	0	0	0	0
PENG0000008075	18	15	11	15	18	7	24	20
PENG0000008076	6089	6801	6745	4969	5287	3872	8662	4901
PENG0000008077	0	0	0	0	0	0	0	0
PENG0000008078	373	380	373	283	450	271	584	376
PENG0000008079	0	0	0	0	0	0	0	0
PENG0000008080	4355	2061	4748	3412	1280	871	1559	1524
PENG0000008081	50	47	35	30	37	34	35	38
PENG0000008082	0	1	0	0	0	0	1	0
PENG0000008083	0	0	0	0	0	0	0	0
PENG0000008084	1	1	1	0	0	1	1	0
PENG0000008085	0	0	0	0	0	0	0	0
PENG0000008086	0	0	0	0	0	0	0	0
PENG0000008087	0	0	0	0	0	0	0	0
PENG0000008088	1524	1776	1941	1723	920	761	1454	1291
PENG0000008089	0	4	1	2	3	1	4	1
PENG0000008090	2340	2735	2865	1928	2678	1779	3687	2447
PENG0000008091	0	0	0	0	0	0	0	0
PENG0000008092	10279	10268	8786	6806	9963	4659	10405	6951
PENG0000008093	0	0	0	0	2	0	0	0
PENG0000008094	0	0	0	0	0	0	0	0
PENG0000008095	191	172	165	177	148	106	164	189
PENG0000008096	412	473	443	436	437	450	941	729
PENG0000008097	3	14	1	12	1	1	0	3
PENG0000008098	1727	1551	1737	1174	1432	823	2139	1247
PENG0000008099	1	4	3	2	2	1	8	1
PENG0000008100	20	15	14	18	23	10	24	16
PENG0000008101	0	0	0	0	0	0	0	0
PENG0000008102	48	57	51	50	59	49	93	76
PENG0000008103	0	0	0	0	0	0	0	0
PENG0000008104	2173	2302	2041	1832	2026	1221	2828	1814
PENG0000008105	0	2	0	0	0	5	4	1
PENG0000008106	682	1021	1021	695	570	650	1096	706
PENG0000008107	50	49	41	46	44	25	49	26
PENG0000008108	4	8	4	7	16	11	7	19
PENG0000008109	2	2	1	4	0	1	1	1
PENG0000008110	1016	1027	961	709	934	575	1548	855
PENG0000008111	0	0	4	0	1	0	4	1
PENG0000008112	9878	13292	11461	9608	10446	8065	15390	12889
PENG0000008113	269	394	385	236	233	158	485	222
PENG0000008114	0	1	3	0	0	1	7	0
PENG0000008115	55	60	69	43	48	38	73	83
PENG0000008116	1111	973	1233	853	659	350	650	561
PENG0000008117	1252	1635	1614	1114	1427	1010	2026	1396
PENG0000008118	0	0	0	0	0	0	0	0
PENG0000008119	395	517	500	402	339	310	484	424
PENG0000008120	0	0	0	1	0	0	0	0
PENG0000008121	0	0	0	0	0	0	0	0
PENG0000008122	28	28	26	26	32	16	24	16
PENG0000008123	0	0	0	0	0	0	0	0
PENG0000008124	0	0	0	0	0	0	0	0
PENG0000008125	4	12	6	6	12	44	30	42
PENG0000008126	1059	1309	1389	1083	992	899	2249	1471
PENG0000008127	0	0	0	0	0	0	0	0
PENG0000008128	0	0	0	0	0	0	0	0
PENG0000008129	200	169	120	166	154	84	110	129
PENG0000008130	0	0	0	0	0	0	0	0
PENG0000008131	0	0	0	0	0	0	0	0
PENG0000008132	4473	5375	5753	4886	4375	3611	8077	5187
PENG0000008133	1	1	0	0	2	1	11	1
PENG0000008134	7	15	16	6	7	3	25	6
PENG0000008135	0	0	0	1	0	0	0	0
PENG0000008136	91	107	99	59	54	53	89	71
PENG0000008137	1177	1228	1562	1043	1072	743	1635	1109
PENG0000008138	287	200	205	154	310	147	317	260
PENG0000008139	2420	2637	3208	2092	2041	1411	2818	1814
PENG0000008140	476	574	568	379	359	343	704	439
PENG0000008141	5427	6802	5404	4884	4076	3341	5925	4996
PENG0000008142	1064	1071	1398	983	803	605	1631	997
PENG0000008143	82	135	70	109	73	114	221	146
PENG0000008144	0	0	0	0	0	0	0	0
PENG0000008145	1	0	0	0	0	0	2	0
PENG0000008146	0	0	0	0	0	0	0	0
PENG0000008147	724	869	829	597	454	364	880	419
PENG0000008148	0	0	0	0	0	0	0	0
PENG0000008149	0	0	0	0	0	0	0	0
PENG0000008150	4	0	4	1	1	0	2	3
PENG0000008151	299	476	548	360	185	173	433	257
PENG0000008152	1	1	5	2	2	2	3	1
PENG0000008153	119	137	158	112	70	84	178	107
PENG0000008154	1	1	0	0	1	0	0	0
PENG0000008155	21	62	36	39	5	14	13	17
PENG0000008156	0	0	0	0	0	1	0	0
PENG0000008157	10	8	5	8	4	4	7	7
PENG0000008158	1017	1116	1066	841	1095	640	1421	967
PENG0000008159	0	0	0	0	0	0	0	0
PENG0000008160	329	458	466	345	276	269	679	374
PENG0000008161	408	425	443	350	336	201	430	344
PENG0000008162	0	2	1	1	0	0	1	0
PENG0000008163	290	355	433	245	191	164	377	182
PENG0000008164	0	0	0	0	0	0	0	0
PENG0000008165	1051	1106	977	726	965	638	1297	781
PENG0000008166	785	1534	912	1038	771	1202	2264	1051
PENG0000008167	0	0	0	0	0	0	0	0
PENG0000008168	0	0	0	0	0	0	0	0
PENG0000008169	173	88	157	182	54	39	398	83
PENG0000008170	189	220	313	147	96	81	188	104
PENG0000008171	0	0	0	0	0	0	0	0
PENG0000008172	79	65	104	71	65	30	99	55
PENG0000008173	538	512	552	406	688	394	979	594
PENG0000008174	0	1	0	0	0	0	0	0
PENG0000008175	0	0	0	0	0	0	0	0
PENG0000008176	0	0	0	0	0	0	0	0
PENG0000008177	123	104	137	108	66	51	108	81
PENG0000008178	13	26	8	12	40	45	20	55
PENG0000008179	20	26	40	38	14	10	30	14
PENG0000008180	1	4	5	0	1	1	4	0
PENG0000008181	0	1	3	1	0	2	1	2
PENG0000008182	0	0	0	0	0	0	1	0
PENG0000008183	0	0	1	0	0	0	0	1
PENG0000008184	0	0	0	0	0	0	0	0
PENG0000008185	0	0	0	0	0	0	0	0
PENG0000008186	540	668	720	582	348	258	1360	367
PENG0000008187	1041	1200	1082	1014	841	698	1084	876
PENG0000008188	241	350	343	206	204	159	257	220
PENG0000008189	0	0	0	0	0	0	0	0
PENG0000008190	3250	4740	3715	4079	8240	7770	9828	16520
